id,category,item_name,brand,retail_price,department,rank,sku
1,Socks & Hosiery,Comfort Choice Plus Size 6-Pack Multi Textured Trouser Socks,Comfort Choice,16.99,Women,31333,84737d8f7ef778a4bbfaf70ef2ce9541
2,Blazers & Jackets,Anne Klein Women's Plus-Size Classic Blazer,Anne Klein,109,Women,131783,c192112c8a3f721afadc9ccdc0e7e651
3,Tops & Tees,Allegra K Women Batwing Sleeve Portrait Letters Print Front Gray Tunic Shirt S,Allegra K,11.49,Women,3142,32a3750b2c972764f511dc149e4160a7
4,Swim,Columbia Sportswear Men's Backcast II Water Trunk,Columbia,29.99,Men,2614,d88e8a96b19f7de0cafab926f45647ac
5,Tops & Tees,Eddie Bauer Favorite 3/4 Sleeve Scoop-Neck T-Shirt,Eddie Bauer,27.95,Women,24200,7c81bfb7ce3fe8a77956a9ec23352288
6,Suits & Sport Coats,Alfani Red Gray Wool LS 2 Button Sport Coat,Alfani,227.5,Men,543733,3f79bcb5b7ea2dcc8bc8c5574a22bd11
7,Shorts,Calvin Klein Jeans Women's Pocket And Seam Short,Calvin Klein Jeans,13.31,Women,166417,6a08bca365930c059c543bf3fd981b1d
8,Swim,Rusty Hot Lava 4-Way Stretch Boardshort - Black,Rusty,59.5,Men,454546,1d5544255550801ac3b28d5940b4d754
9,Fashion Hoodies & Sweatshirts,Allegra K Men Long Sleeve Pullover Drawstring Casual Hoodie Coat Black S,Allegra K,15.6,Men,151040,4d631f1887b3a03a5c6a22f61573a770
10,Active,Minus33 100% Merino Wool Base Layer 814 Women's MidWeight 1/4 Length Zip Top,Minus33 Merino Wool,70,Women,20715,80c2436a4acbbe9babcd66e48822c1ab
11,Swim,Miraclesuit Women's Solid Lisa Jane Swimsuit,Miraclesuit,160,Women,310899,df8278bd465f8beb6816c0a0e04e2360
12,Tops & Tees,Mad Engine Men's Coca Cola Coke Classic Tee,Mad Engine,25.99,Men,39293,b8d392a3ed283e67c7359c9f30c32b8d
13,Socks,Gold Toe Cotton Quarter 6-Pack Socks,Gold Toe,20,Men,83062,292d1c7e9b899b17f24a1b37379ad0d5
14,Pants & Capris,Dickies Girl Junior's 5 Pocket Skinny Pant,Dickies Girl,30,Women,1774,5c368b9c5c6d77fdd5ca114c9ab7b38f
15,Swim,Speedo Women's Off the Grid Endurance+ Flyback Performance Swimsuit,Speedo,82,Women,57912,751977f24acefe442767e525e57e2134
16,Jumpsuits & Rompers,Adidas Women's Jeremy Scott Animal Print Jumper Jumpsuit-Dark Yellow,adidas,350,Women,117821,d8ff06985efc83b32eef77f07538eb27
17,Maternity,Nizo Wear Solace Comfort Nursing Bra With Healing Pocket,Nizo Wear,26.99,Women,6015,8d9464073aaee19bf74d771051db5688
18,Fashion Hoodies & Sweatshirts,Armada Men's Tri Fleece Hoodie,Armada,89.95,Men,533235,281a1b3cced8107d26863242bf0a7180
19,Maternity,A Pea in the Pod: Short Sleeve Scoop Neck Variegated Stripe Maternity T Shirt,A Pea in the Pod,59.5,Women,834971,a6a7b491de743eba71b146bc6680b5ce
20,Outerwear & Coats,Marc New York by Andrew Marc Men's Keenan Wool Twill Car Coat,Marc New York by Andrew Marc,150.75,Men,49827,f6dade518ef506da22817bdd3aff0d51
21,Plus,Buxton Checkbook Cover and Credit Card Holder,Buxton,14.99,Women,8760,d7b3d2686e2303c3a81cb8f2531ea09c
22,Suits & Sport Coats,Men's Single Breasted 2 Button Black Extra Fine Slim Fit Tuxedo,Caravelli,89.95,Men,231027,18b7c7780185e028b250645f431b38ee
23,Active,Capezio Women's No Show Liner With 5-pair Pre-pack Socks,Capezio,12.48,Women,5320,4ab1f6a613e0c7a09f2c80fb9ffe6553
24,Socks & Hosiery,LOCOMO Women Snow Snowflake Christmas Pattern Ankle Length Footless Pantyhose Legging Tight Pant FFT025s02 One Size Multicolored,LOCOMO Leggings,11.99,Women,1061,4d1bc78975a2da6278522f1375232fe1
25,Sweaters,Scotch & Soda Men's Fair Isle Crewneck Sweater,Scotch & Soda,81.9,Men,138622,31ef99c20fc83028586d3983231fea5a
26,Swim,Reebok Women's Sugarcoat Color Block Swimwear,Reebok,94,Women,156596,caf9f78046a21a80a7583533615bd1d0
27,Suits & Sport Coats,Elegant Men's Shinny Grey Slim Fit Two Button Suit with Slim Notch Lapel with Black Satin Trim,King Formal Wear,79.99,Men,290825,e798faea777ad348b975697d2e870686
28,Accessories,Kate Spade New York Mikas Pond-Holly Wallet,Kate Spade,58,Women,9384,48d16b0250a589189e256c4f20ce419e
29,Sweaters,American Apparel Unisex Fisherman's Pullover,American Apparel,78,Women,185132,d8a1dfae03054073a780973251998005
30,Jeans,7 For All Mankind Men's Standard Jean,7 For All Mankind,94.49,Men,91981,32560cfc4e06eacef3fcecd2e6c90c1c
31,Socks & Hosiery,Donna Karan The Signature Collection Sueded Jersey Control Top Pantyhose 0B110,Donna Karan,54,Women,50357,d1bf76d25ae7b2a448875b5eb45cfa9f
32,Accessories,Oakley Men's M Frame Replacement Lens,Oakley,55,Men,27135,a9c54d7ea55ff1eca39c15c126e2f805
33,Suits,Tahari Cliff Skirt Suit,Tahari,196.18,Women,715859,e498c611cad99757f61f1e34487a2b13
34,Suits & Sport Coats,DKNY Mens 2 Button Brown Black Texture Wool Sport Coat Jacket,DKNY,99.99,Men,360874,051a6fbf7aebadedc41f3cb859440e27
35,Blazers & Jackets,Allegra K Lady Stripes Epaulet Peaked Lapel Blazer Black White,Allegra K,14.21,Women,321158,f76468ea9176bda3dd348e05d001d176
36,Suits & Sport Coats,DC Men's Juneau Jacket,DC,99.5,Men,31046,87b5e7c94cde78641f5cff5109fb973b
37,Tops & Tees,Icebreaker Men's Everyday Short Sleeve Crewe Top,Icebreaker,64.99,Men,72455,d047efd7b587b2e2184d9c2b01f40e6d
