id,order_id,sale_price,inventory_item_id,returned_at
20001,12143,5.37,35071,
20002,12143,25,35072,
20003,12143,29.5,35073,
20004,12145,15.99,35074,
20005,12147,109.99,35075,
20006,12148,33.99,35076,
20007,12149,68,35077,
20008,12144,97.49,35078,
20009,12143,89.95,35079,
20010,12150,62.95,35080,
20011,12150,149,35081,
20012,12146,23.48,35083,
20013,12151,65,35082,
20014,12151,45,35084,
20015,12153,17.99,35095,
20016,12152,28,35096,
20017,12154,39,35097,
20018,12154,89.58,35098,
20019,12154,58.96,35099,
20020,12154,25,35100,
20021,12155,48.53,35101,
20022,12155,81.96,35102,
20023,12156,32,35103,
20024,12155,39.99,35104,
20025,12159,84.21,35106,
20026,12157,221,35108,
20027,12155,14,35105,
20028,12158,16.9,35107,
20029,12159,49.99,35110,
20030,12155,98,35109,
20031,12159,139.99,35112,
20032,12160,25,35111,
20033,12161,32,35113,
20034,12161,24.99,35114,
20035,12162,117.27,35115,
20036,12164,38,35117,
20037,12163,17.5,35116,
20038,12165,99.5,35118,
20039,12167,20.95,35120,
20040,12166,79.5,35119,
20041,12166,143,35121,
20042,12166,25,35122,
20043,12168,23.5,35124,
20044,12169,8.99,35123,
20045,12171,27.78,35125,
20046,12170,13.97,35126,
20047,12170,69.99,35127,
20048,12172,24.03,35128,
20049,12172,49.95,35129,
20050,12172,17.99,35130,
20051,12172,75,35131,
20052,12174,41.99,35133,
20053,12172,145,35132,
20054,12176,32.49,35136,
20055,12175,40,35134,
20056,12174,19.99,35135,
20057,12175,100,35137,
20058,12177,55.99,35139,
20059,12178,35,35138,
20060,12179,15,35140,
20061,12180,23.99,35142,
20062,12179,115,35141,
20063,12180,33.75,35143,
20064,12181,42.99,35144,
20065,12181,51.87,35145,
20066,12182,199,35146,
20067,12173,9.01,35148,
20068,12183,25,35147,
20069,12184,178.76,35149,
20070,12185,39,35150,
20071,12186,55.5,35151,
20072,12187,35,35152,
20073,12188,153.95,35153,
20074,12188,59.99,35154,
20075,12188,54,35155,
20076,12191,23.99,35157,
20077,12190,70.35,35156,
20078,12192,129.52,35158,
20079,12189,79.95,35159,
20080,12194,8,35161,
20081,12193,38.99,35160,
20082,12193,30,35162,
20083,12193,21.99,35163,
20084,12193,44.95,35164,
20085,12193,29.99,35165,
20086,12195,75,35166,
20087,12196,79.95,35167,
20088,12198,65,35168,
20089,12199,99,35169,
20090,12200,54.95,35170,
20091,12201,69,35171,
20092,12202,14,35172,
20093,12202,40,35173,
20094,12203,6.92,35174,
20095,12204,80.95,35175,
20096,12205,59.95,35176,
20097,12206,16.75,35178,
20098,12205,100.93,35177,
20099,12205,12.99,35179,
20100,12208,10.72,35180,
20101,12209,65,35181,
20102,12197,199.95,35182,
20103,12211,28.95,35184,
20104,12210,44.99,35183,
20105,12210,29.99,35185,
20106,12212,8.99,35186,
20107,12213,50.3,35187,
20108,12214,122.6,35189,
20109,12215,34.32,35188,
20110,12216,16.5,35190,
20111,12216,37.9,35191,
20112,12216,25.46,35192,
20113,12216,26.1,35193,
20114,12216,49.99,35195,
20115,12207,19.9,35194,
20116,12217,25.46,35197,
20117,12207,24.99,35196,
20118,12217,137.5,35199,
20119,12218,69.08,35198,
20120,12220,79.5,35202,
20121,12218,33,35200,
20122,12219,39.99,35201,
20123,12220,39.88,35204,
20124,12222,59.99,35205,
20125,12221,54,35203,
20126,12223,26.99,35207,
20127,12221,74.95,35208,
20128,12220,31.98,35206,
20129,12211,15,35212,
20130,12220,182,35209,
20131,12211,45,35214,
20132,12225,18.59,35210,
20133,12224,9.97,35211,
20134,12227,198,35215,
20135,12226,79.95,35216,
20136,12220,117.6,35213,
20137,12228,32.99,35218,
20138,12226,135,35219,
20139,12229,33.99,35217,
20140,12226,293.33,35220,
20141,12229,35,35221,
20142,12228,64,35222,
20143,12220,79.95,35223,
20144,12220,18.59,35224,
20145,12229,24.95,35225,
20146,12230,11.99,35226,
20147,12231,31.83,35227,
20148,12232,105.6,35228,
20149,12233,56.39,35229,
20150,12234,39.99,35230,
20151,12229,25,35231,
20152,12235,22,35233,
20153,12236,37.97,35232,
20154,12237,69.5,35234,
20155,12237,50,35235,
20156,12237,59.95,35236,
20157,12237,127.56,35237,
20158,12239,19.99,35238,
20159,12240,31.99,35239,
20160,12240,22.75,35240,
20161,12240,28,35241,
20162,12233,59.99,35242,
20163,12241,10.17,35244,
20164,12233,63.18,35243,
20165,12241,55,35246,
20166,12233,30,35245,
20167,12233,94,35247,
20168,12242,47.99,35248,
20169,12243,88,35250,
20170,12243,58.99,35251,
20171,12244,33.22,35249,
20172,12245,42,35252,
20173,12246,296,35253,
20174,12247,26,35255,
20175,12248,26,35254,
20176,12238,298,35257,
20177,12248,22.95,35256,
20178,12250,139.99,35258,
20179,12250,56.64,35259,
20180,12251,239.99,35260,
20181,12252,21.9,35261,
20182,12253,67.99,35262,
20183,12254,186.37,35263,
20184,12257,84.65,35266,
20185,12256,44,35264,
20186,12255,19.99,35265,
20187,12258,31.99,35267,
20188,12259,74.99,35268,
20189,12259,39.99,35269,
20190,12260,13.71,35270,
20191,12261,147.13,35272,
20192,12249,41.95,35279,
20193,12262,14.49,35283,
20194,12263,54.54,35302,
20195,12265,99,35307,
20196,12264,236.98,35308,
20197,12266,22.86,35311,
20198,12267,75,35313,
20199,12269,108,35314,
20200,12271,274.99,35315,
20201,12268,69.5,35312,
20202,12272,25,35317,
20203,12270,24.99,35316,
20204,12273,17,35319,
20205,12270,19.99,35318,
20206,12275,69.95,35321,
20207,12270,19.99,35320,
20208,12270,10.74,35322,
20209,12274,9.99,35323,
20210,12270,54.84,35325,
20211,12276,299,35324,
20212,12276,65,35327,
20213,12277,122.6,35326,
20214,12278,23.99,35328,
20215,12279,23,35329,
20216,12282,12,35332,00:00.0
20217,12281,44.99,35330,
20218,12280,19.99,35331,
20219,12283,10.5,35335,
20220,12281,26.99,35334,
20221,12281,39.95,35338,
20222,12284,200,35340,
20223,12281,49.99,35341,
20224,12281,16.99,35346,
20225,12286,36,35363,
20226,12287,71.99,35379,
20227,12285,54.7,35350,
20228,12288,24,35398,
20229,12289,99.5,35404,
20230,12290,7.46,35470,
20231,12291,27.3,35475,
20232,12291,12.99,35485,
20233,12291,47.95,35486,
20234,12292,39.99,35494,
20235,12293,55.49,35499,
20236,12294,249.5,35505,
20237,12294,63,35506,
20238,12295,56.64,35511,
20239,12291,69.98,35527,
20240,12291,15.86,35529,
20241,12291,239.91,35531,
20242,12296,98,35534,
20243,12296,81.95,35536,
20244,12297,49.95,35539,
20245,12297,69.45,35542,
20246,12295,399,35545,
20247,12295,58,35549,
20248,12298,42.1,35550,
20249,12300,31.99,35659,
20250,12301,17.99,35664,
20251,12302,40.95,35669,
20252,12299,69,35671,
20253,12303,122.6,35673,
20254,12304,34,35674,
20255,12305,55.3,35692,
20256,12306,65.99,35694,
20257,12306,30.99,35695,
20258,12306,49.5,35696,
20259,12307,57.99,35698,
20260,12308,28.5,35697,
20261,12309,84.66,35700,
20262,12307,25.99,35699,
20263,12309,34.75,35701,
20264,12309,25,35705,
20265,12310,78,35702,
20266,12310,10.49,35706,
20267,12311,60,35708,
20268,12312,79,35710,
20269,12313,59,35712,
20270,12311,59.99,35711,
20271,12314,19,35714,
20272,12315,12.99,35713,
20273,12316,169,35718,
20274,12317,102.86,35722,
20275,12319,16.99,35724,
20276,12318,12,35742,
20277,12318,261,35743,
20278,12320,39.5,35744,
20279,12320,12.99,35745,
20280,12321,22.1,35763,
20281,12322,40,35779,
20282,12323,149.9,35783,
20283,12324,68,35787,
20284,12324,30.99,35788,
20285,12325,11.86,35793,
20286,12325,24.98,35795,
20287,12326,48,35819,
20288,12327,12,35825,
20289,12328,25,35831,
20290,12328,196,35833,
20291,12329,35,35834,
20292,12330,15.51,35858,
20293,12331,34.95,35863,
20294,12331,49.99,35868,
20295,12331,39.99,35872,
20296,12332,88,35879,
20297,12333,19.99,35887,
20298,12334,83,35888,
20299,12331,189.95,35890,
20300,12335,99.99,35897,
20301,12336,69.5,35902,
20302,12337,46.5,35906,
20303,12337,357,35911,
20304,12338,17.99,35912,
20305,12339,55,35926,
20306,12338,36,35914,
20307,12340,26.6,35927,
20308,12341,40,35928,00:00.0
20309,12342,53.97,35930,
20310,12342,69.99,35931,
20311,12342,19.95,35932,
20312,12342,19,35933,
20313,12343,9.99,35934,
20314,12344,38.99,35946,
20315,12343,30,35953,
20316,12343,119.98,35954,
20317,12346,120,35955,
20318,12347,15.99,35956,
20319,12347,99.99,35957,
20320,12348,49.99,35961,
20321,12349,35.72,35964,
20322,12345,44,35980,
20323,12350,85,35981,
20324,12350,23.05,35982,
20325,12350,11.99,35983,
20326,12350,15,35984,
20327,12349,64,35966,
20328,12352,40.22,35985,
20329,12352,56.6,35986,
20330,12352,6.85,35987,
20331,12352,14,35988,
20332,12351,38.99,36018,
20333,12354,36.61,36022,
20334,12355,78,36024,
20335,12355,21.05,36025,
20336,12355,59.5,36026,
20337,12356,59.5,36028,
20338,12353,380,36027,
20339,12353,55,36029,
20340,12357,26,36030,
20341,12357,25,36031,
20342,12358,27.3,36032,
20343,12358,25,36033,
20344,12360,39.99,36034,
20345,12361,59,36035,
20346,12362,55,36036,
20347,12363,54,36037,
20348,12364,26.99,36038,
20349,12364,48,36039,
20350,12365,9.79,36046,
20351,12366,19.9,36051,
20352,12367,49.99,36054,
20353,12359,128,36055,
20354,12368,59.95,36056,
20355,12368,278,36057,
20356,12368,188.3,36058,
20357,12369,46,36066,
20358,12370,14,36126,
20359,12372,34.95,36129,
20360,12371,50,36134,
20361,12373,42.5,36154,
20362,12374,12.95,36162,
20363,12375,50,36165,
20364,12376,54,36193,
20365,12377,159,36202,
20366,12378,68,36204,
20367,12379,34,36213,
20368,12380,29.95,36218,
20369,12380,79,36220,
20370,12381,78,36224,
20371,12381,39.99,36225,
20372,12382,50,36228,
20373,12383,118,36232,
20374,12383,11.44,36235,
20375,12384,124.85,36238,
20376,12386,36,36245,
20377,12387,42.99,36246,
20378,12387,19.39,36247,
20379,12388,5,36251,
20380,12389,69.95,36254,
20381,12389,38.99,36255,
20382,12389,225,36258,
