id,order_id,name,amount_paid
0,114,chicken-parm,10.25
1,2825,tikka-masala,11.25
2,4717,blt,9.25
3,1035,orange-juice,5.25
4,1023,grilled-cheese,9.25
5,4359,chicken-parm,10.25
6,3929,tikka-masala,11.25
7,3704,chicken-parm,10.25
8,1666,grilled-cheese,9.25
9,1477,tikka-masala,11.25
10,4369,tikka-masala,11.25
11,998,grilled-cheese,9.25
12,2730,chicken-parm,10.25
13,3038,tikka-masala,11.25
14,3602,chicken-parm,10.25
15,1484,tikka-masala,11.25
16,4382,tikka-masala,11.25
17,4778,tikka-masala,11.25
18,646,grilled-cheese,9.25
19,4692,chicken-parm,10.25
20,3965,soda,3.75
21,4165,grilled-cheese,9.25
22,3982,grilled-cheese,9.25
23,2002,chicken-parm,10.25
24,2554,blt,9.25
25,3407,tikka-masala,11.25
26,2550,grilled-cheese,9.25
27,527,orange-juice,5.25
28,855,grilled-cheese,9.25
29,668,chicken-parm,10.25
30,2764,grilled-cheese,9.25
31,4953,cake,6.75
32,1355,grilled-cheese,9.25
33,2852,tikka-masala,11.25
34,1588,blt,9.25
35,4019,grilled-cheese,9.25
36,477,chicken-parm,10.25
37,3089,chicken-parm,10.25
38,336,tikka-masala,11.25
39,3919,tikka-masala,11.25
40,1951,tikka-masala,11.25
41,648,tikka-masala,11.25
42,50,grilled-cheese,9.25
43,1958,cake,6.75
44,2422,chicken-parm,10.25
45,2442,chicken-parm,10.25
46,4181,tikka-masala,11.25
47,1865,soda,3.75
48,1327,soda,3.75
49,4818,tikka-masala,11.25
50,354,soda,3.75
51,2946,soda,3.75
52,2324,tikka-masala,11.25
53,3884,blt,9.25
54,3184,soda,3.75
55,2586,soda,3.75
56,4410,cake,6.75
57,4428,grilled-cheese,9.25
58,1450,cake,6.75
59,3016,chicken-parm,10.25
60,57,orange-juice,5.25
61,2686,cake,6.75
62,1834,grilled-cheese,9.25
63,4861,tikka-masala,11.25
64,3081,grilled-cheese,9.25
65,4103,tikka-masala,11.25
66,655,grilled-cheese,9.25
67,975,grilled-cheese,9.25
68,4522,blt,9.25
69,4255,grilled-cheese,9.25
70,3633,blt,9.25
71,2571,grilled-cheese,9.25
72,2236,grilled-cheese,9.25
73,1056,tikka-masala,11.25
74,2287,tikka-masala,11.25
75,3243,blt,9.25
76,2731,grilled-cheese,9.25
77,4331,blt,9.25
78,4260,orange-juice,5.25
79,4834,tikka-masala,11.25
80,2931,grilled-cheese,9.25
81,3711,grilled-cheese,9.25
82,4700,tikka-masala,11.25
83,4288,tikka-masala,11.25
84,1569,blt,9.25
85,1564,grilled-cheese,9.25
86,2280,soda,3.75
87,4522,chicken-parm,10.25
88,3514,soda,3.75
89,1913,tikka-masala,11.25
90,980,tikka-masala,11.25
91,1639,grilled-cheese,9.25
92,1954,tikka-masala,11.25
93,355,tikka-masala,11.25
94,2600,grilled-cheese,9.25
95,2264,chicken-parm,10.25
96,37,grilled-cheese,9.25
97,2917,soda,3.75
98,4002,orange-juice,5.25
99,148,grilled-cheese,9.25
100,4647,soda,3.75
101,1823,blt,9.25
102,1387,blt,9.25
103,122,chicken-parm,10.25
104,2706,blt,9.25
105,426,blt,9.25
106,716,tikka-masala,11.25
107,2100,blt,9.25
108,4480,tikka-masala,11.25
109,2143,blt,9.25
110,2778,chicken-parm,10.25
111,4917,soda,3.75
112,414,soda,3.75
113,1995,grilled-cheese,9.25
114,3583,blt,9.25
115,289,chicken-parm,10.25
116,2162,tikka-masala,11.25
117,4739,grilled-cheese,9.25
118,4875,grilled-cheese,9.25
119,4171,chicken-parm,10.25
120,4767,soda,3.75
121,699,kale-smoothie,8.75
122,4787,soda,3.75
123,4175,tikka-masala,11.25
124,2876,chicken-parm,10.25
125,4023,grilled-cheese,9.25
126,2388,blt,9.25
127,1411,grilled-cheese,9.25
128,2576,chicken-parm,10.25
129,4142,blt,9.25
130,1028,chicken-parm,10.25
131,1749,soda,3.75
132,3385,blt,9.25
133,401,blt,9.25
134,3287,blt,9.25
135,4629,soda,3.75
136,4213,soda,3.75
137,4899,chicken-parm,10.25
138,1677,cake,6.75
139,1997,chicken-parm,10.25
140,1799,chicken-parm,10.25
141,1131,soda,3.75
142,2453,grilled-cheese,9.25
143,177,blt,9.25
144,2695,tikka-masala,11.25
145,4272,soda,3.75
146,3006,tikka-masala,11.25
147,286,grilled-cheese,9.25
148,3467,tikka-masala,11.25
149,3941,chicken-parm,10.25
150,4852,blt,9.25
151,2750,blt,9.25
152,1979,tikka-masala,11.25
153,4019,grilled-cheese,9.25
154,4073,soda,3.75
155,1510,tikka-masala,11.25
156,3210,grilled-cheese,9.25
157,978,chicken-parm,10.25
158,2135,soda,3.75
159,375,blt,9.25
160,595,grilled-cheese,9.25
161,2382,orange-juice,5.25
162,4596,tikka-masala,11.25
163,249,tikka-masala,11.25
164,3190,tikka-masala,11.25
165,257,chicken-parm,10.25
166,4076,tikka-masala,11.25
167,3589,soda,3.75
168,4706,soda,3.75
169,3032,grilled-cheese,9.25
170,25,grilled-cheese,9.25
171,1378,chicken-parm,10.25
172,1939,soda,3.75
