id,ordered_at,delivered_at,delivered_to
0,8/19/2015 22:01,8/19/2015 22:19,767
1,11/16/2015 0:12,11/16/2015 0:40,847
2,11/27/2015 8:06,11/27/2015 8:08,972
3,10/14/2015 1:16,10/14/2015 1:25,390
4,11/28/2015 5:10,11/28/2015 5:16,914
5,11/20/2015 13:14,11/20/2015 13:18,490
6,9/29/2015 15:02,9/29/2015 15:08,562
7,11/22/2015 0:17,11/22/2015 0:43,478
8,11/18/2015 19:20,11/18/2015 19:23,393
9,9/1/2015 15:08,9/1/2015 15:22,534
10,10/21/2015 7:39,10/21/2015 7:45,209
11,10/9/2015 16:31,10/9/2015 16:41,456
12,11/14/2015 22:58,11/14/2015 23:21,454
13,11/13/2015 1:06,11/13/2015 1:28,515
14,10/26/2015 22:37,10/26/2015 22:55,588
15,11/22/2015 3:31,11/22/2015 3:53,621
16,8/11/2015 6:34,8/11/2015 6:37,25
17,10/29/2015 1:51,10/29/2015 2:16,903
18,9/4/2015 16:25,9/4/2015 16:53,22
19,11/6/2015 7:20,11/6/2015 7:37,126
20,10/21/2015 4:25,10/21/2015 4:48,155
21,11/10/2015 0:01,11/10/2015 0:10,166
22,11/15/2015 6:23,11/15/2015 6:47,778
23,11/11/2015 3:08,11/11/2015 3:21,87
24,9/25/2015 11:29,9/25/2015 11:52,586
25,9/3/2015 16:59,9/3/2015 17:15,728
26,10/2/2015 8:15,10/2/2015 8:37,369
27,10/23/2015 8:33,10/23/2015 8:48,253
28,8/24/2015 13:24,8/24/2015 13:34,469
29,11/17/2015 15:35,11/17/2015 16:01,987
30,8/28/2015 13:36,8/28/2015 13:38,712
31,11/27/2015 16:43,11/27/2015 17:01,532
32,10/22/2015 5:24,10/22/2015 5:54,813
33,11/3/2015 14:12,11/3/2015 14:41,508
34,11/7/2015 18:09,11/7/2015 18:13,10
35,11/30/2015 19:48,11/30/2015 20:02,903
36,11/15/2015 23:06,11/15/2015 23:35,476
37,10/25/2015 13:48,10/25/2015 14:09,606
38,10/14/2015 0:12,10/14/2015 0:14,338
39,9/30/2015 19:09,9/30/2015 19:11,492
40,10/22/2015 22:19,10/22/2015 22:23,694
41,11/29/2015 17:13,11/29/2015 17:21,1
42,11/9/2015 7:17,11/9/2015 7:20,566
43,10/11/2015 13:29,10/11/2015 13:52,170
44,8/11/2015 17:06,8/11/2015 17:11,485
45,11/24/2015 12:26,11/24/2015 12:36,609
46,11/29/2015 6:47,11/29/2015 7:04,96
47,11/13/2015 21:44,11/13/2015 22:10,729
48,10/17/2015 14:32,10/17/2015 14:51,505
49,10/15/2015 17:41,10/15/2015 18:06,910
50,9/12/2015 18:23,9/12/2015 18:50,811
51,9/23/2015 12:39,9/23/2015 12:51,9
52,11/9/2015 22:27,11/9/2015 22:44,137
53,10/17/2015 18:52,10/17/2015 19:14,4
54,11/15/2015 21:42,11/15/2015 21:42,296
55,10/31/2015 14:50,10/31/2015 15:01,369
56,11/28/2015 6:49,11/28/2015 7:13,462
57,11/28/2015 22:26,11/28/2015 22:37,924
58,10/2/2015 18:34,10/2/2015 18:42,884
59,11/10/2015 3:04,11/10/2015 3:10,413
60,11/15/2015 19:54,11/15/2015 20:10,477
61,10/26/2015 9:35,10/26/2015 10:02,48
62,11/12/2015 18:20,11/12/2015 18:24,668
63,11/9/2015 8:26,11/9/2015 8:43,2
64,11/4/2015 5:37,11/4/2015 6:04,32
65,10/4/2015 14:56,10/4/2015 15:05,591
66,10/12/2015 5:55,10/12/2015 6:22,211
67,10/20/2015 12:55,10/20/2015 13:08,44
68,10/21/2015 3:40,10/21/2015 3:48,910
69,11/28/2015 3:37,11/28/2015 3:41,86
70,10/17/2015 13:09,10/17/2015 13:27,431
71,11/15/2015 22:20,11/15/2015 22:49,290
72,11/25/2015 2:07,11/25/2015 2:15,792
73,10/30/2015 7:38,10/30/2015 8:05,166
74,11/2/2015 16:11,11/2/2015 16:26,79
75,11/12/2015 22:32,11/12/2015 22:39,810
76,10/30/2015 8:04,10/30/2015 8:32,657
77,11/10/2015 20:32,11/10/2015 20:35,145
78,11/16/2015 19:54,11/16/2015 20:02,668
79,11/29/2015 4:51,11/29/2015 5:03,458
80,10/4/2015 23:09,10/4/2015 23:13,48
81,8/28/2015 4:45,8/28/2015 5:07,617
82,11/4/2015 21:46,11/4/2015 21:59,275
83,11/6/2015 7:23,11/6/2015 7:35,51
84,11/27/2015 3:06,11/27/2015 3:08,324
85,10/28/2015 17:41,10/28/2015 18:07,174
86,9/21/2015 20:06,9/21/2015 20:13,856
87,11/10/2015 21:58,11/10/2015 22:07,975
88,12/1/2015 14:04,12/1/2015 14:13,717
89,11/13/2015 18:54,11/13/2015 19:23,505
90,9/18/2015 20:00,9/18/2015 20:10,750
91,10/6/2015 5:55,10/6/2015 6:12,150
92,11/8/2015 14:04,11/8/2015 14:27,524
93,9/27/2015 23:59,9/28/2015 0:15,727
94,10/17/2015 16:13,10/17/2015 16:30,460
95,9/30/2015 18:56,9/30/2015 19:23,624
96,10/28/2015 16:15,10/28/2015 16:45,417
97,11/19/2015 17:30,11/19/2015 17:42,965
98,10/14/2015 1:30,10/14/2015 1:40,539
99,11/19/2015 8:57,11/19/2015 9:03,127
100,9/25/2015 15:08,9/25/2015 15:17,871
101,9/2/2015 7:00,9/2/2015 7:10,820
102,11/5/2015 21:04,11/5/2015 21:15,295
103,11/19/2015 21:27,11/19/2015 21:56,176
104,11/14/2015 7:11,11/14/2015 7:24,164
105,11/11/2015 12:22,11/11/2015 12:49,476
106,11/25/2015 11:34,11/25/2015 11:57,565
107,9/18/2015 11:56,9/18/2015 12:20,856
108,12/1/2015 0:57,12/1/2015 1:26,756
109,11/6/2015 2:42,11/6/2015 2:48,907
110,11/13/2015 16:10,11/13/2015 16:29,144
111,10/2/2015 9:11,10/2/2015 9:21,212
112,10/15/2015 15:08,10/15/2015 15:33,337
113,11/2/2015 22:51,11/2/2015 22:52,164
114,11/2/2015 10:56,11/2/2015 11:10,795
115,10/8/2015 7:07,10/8/2015 7:35,739
116,10/8/2015 14:54,10/8/2015 15:09,292
117,10/10/2015 5:02,10/10/2015 5:19,225
118,10/11/2015 2:09,10/11/2015 2:17,558
119,10/13/2015 2:03,10/13/2015 2:19,112
120,9/15/2015 15:30,9/15/2015 15:39,98
121,9/30/2015 7:33,9/30/2015 7:48,570
122,10/30/2015 21:54,10/30/2015 22:20,237
123,11/28/2015 2:34,11/28/2015 2:43,96
124,9/23/2015 13:44,9/23/2015 13:50,203
125,10/31/2015 0:55,10/31/2015 1:01,544
126,10/9/2015 23:22,10/9/2015 23:24,662
127,11/27/2015 18:08,11/27/2015 18:36,914
128,11/21/2015 10:49,11/21/2015 11:14,564
129,10/22/2015 0:45,10/22/2015 1:08,818
130,11/15/2015 17:56,11/15/2015 18:21,272
131,10/26/2015 18:25,10/26/2015 18:40,445
132,10/29/2015 16:33,10/29/2015 16:36,944
133,11/5/2015 2:50,11/5/2015 3:02,704
134,9/17/2015 8:17,9/17/2015 8:28,762
135,10/17/2015 15:39,10/17/2015 15:56,971
136,11/12/2015 20:14,11/12/2015 20:29,42
137,8/21/2015 16:11,8/21/2015 16:17,721
138,11/13/2015 0:18,11/13/2015 0:27,787
139,10/3/2015 14:35,10/3/2015 14:41,784
140,10/2/2015 21:50,10/2/2015 22:05,667
141,9/18/2015 18:40,9/18/2015 19:07,698
142,11/4/2015 5:12,11/4/2015 5:18,864
143,11/1/2015 13:35,11/1/2015 13:50,914
144,9/3/2015 8:26,9/3/2015 8:54,144
145,9/10/2015 5:22,9/10/2015 5:38,427
146,9/24/2015 3:47,9/24/2015 4:16,611
147,10/21/2015 6:24,10/21/2015 6:40,847
148,11/11/2015 21:34,11/11/2015 22:00,4
149,9/15/2015 22:42,9/15/2015 23:00,162
150,11/24/2015 22:27,11/24/2015 22:39,870
151,9/19/2015 13:50,9/19/2015 14:19,122
152,11/29/2015 8:29,11/29/2015 8:59,506
153,11/22/2015 16:44,11/22/2015 16:52,392
154,9/26/2015 23:20,9/26/2015 23:20,462
155,11/21/2015 11:27,11/21/2015 11:32,545
156,11/10/2015 12:23,11/10/2015 12:39,174
157,11/16/2015 9:02,11/16/2015 9:32,963
158,9/30/2015 11:18,9/30/2015 11:39,592
159,9/21/2015 5:12,9/21/2015 5:37,421
160,11/27/2015 9:56,11/27/2015 10:01,359
161,11/21/2015 23:27,11/21/2015 23:34,928
162,10/14/2015 16:40,10/14/2015 16:56,157
163,10/4/2015 3:49,10/4/2015 4:03,566
164,11/16/2015 21:03,11/16/2015 21:08,923
165,11/27/2015 7:52,11/27/2015 8:16,145
166,8/14/2015 16:49,8/14/2015 17:04,380
167,11/14/2015 17:41,11/14/2015 18:07,928
168,11/2/2015 18:29,11/2/2015 18:48,179
169,11/18/2015 2:02,11/18/2015 2:21,261
170,11/28/2015 17:24,11/28/2015 17:47,406
171,10/14/2015 14:58,10/14/2015 15:22,22
172,11/27/2015 10:28,11/27/2015 10:32,285
173,10/31/2015 10:00,10/31/2015 10:02,543
174,10/18/2015 22:51,10/18/2015 22:57,733
175,10/26/2015 18:46,10/26/2015 18:52,783
176,10/22/2015 18:17,10/22/2015 18:46,795
177,11/29/2015 0:31,11/29/2015 0:37,214
178,11/17/2015 20:14,11/17/2015 20:39,605
179,8/20/2015 18:26,8/20/2015 18:53,371
180,11/23/2015 6:49,11/23/2015 7:17,109
181,11/18/2015 2:31,11/18/2015 2:34,684
182,11/7/2015 22:52,11/7/2015 23:02,230
183,11/24/2015 11:37,11/24/2015 12:00,82
184,10/19/2015 20:44,10/19/2015 20:45,676
185,11/10/2015 8:37,11/10/2015 8:52,944
186,11/17/2015 8:02,11/17/2015 8:19,802
187,10/9/2015 6:10,10/9/2015 6:26,688
188,11/23/2015 0:45,11/23/2015 0:56,377
189,11/3/2015 4:42,11/3/2015 4:45,192
190,11/4/2015 1:57,11/4/2015 2:10,775
191,11/1/2015 4:36,11/1/2015 5:03,263
192,9/12/2015 16:38,9/12/2015 16:40,871
193,10/28/2015 9:51,10/28/2015 9:58,254
194,8/16/2015 9:40,8/16/2015 9:41,327
195,10/18/2015 22:20,10/18/2015 22:31,489
196,11/25/2015 11:24,11/25/2015 11:41,269
197,11/25/2015 3:08,11/25/2015 3:12,411
198,11/3/2015 15:30,11/3/2015 16:00,415
199,8/20/2015 4:00,8/20/2015 4:27,294
200,10/6/2015 20:44,10/6/2015 21:11,867
201,11/10/2015 19:52,11/10/2015 20:08,993
202,11/9/2015 12:15,11/9/2015 12:30,366
203,11/24/2015 8:04,11/24/2015 8:10,792
204,10/7/2015 10:08,10/7/2015 10:23,224
205,11/25/2015 13:19,11/25/2015 13:34,46
206,10/12/2015 21:37,10/12/2015 22:00,893
207,11/17/2015 21:40,11/17/2015 21:58,856
208,11/25/2015 18:26,11/25/2015 18:42,57
209,10/22/2015 16:08,10/22/2015 16:14,33
210,9/29/2015 12:11,9/29/2015 12:34,543
211,12/1/2015 2:31,12/1/2015 2:34,127
212,11/28/2015 12:00,11/28/2015 12:28,797
213,11/28/2015 23:44,11/28/2015 23:45,723
214,10/11/2015 22:07,10/11/2015 22:24,744
215,11/15/2015 16:47,11/15/2015 16:48,945
216,9/22/2015 15:53,9/22/2015 15:59,809
217,11/7/2015 23:08,11/7/2015 23:26,888
218,10/28/2015 4:01,10/28/2015 4:18,502
219,11/1/2015 6:10,11/1/2015 6:17,218
220,11/25/2015 21:24,11/25/2015 21:42,149
221,11/11/2015 0:45,11/11/2015 1:05,805
222,10/29/2015 17:38,10/29/2015 17:47,95
223,9/6/2015 3:36,9/6/2015 3:37,710
224,11/7/2015 3:58,11/7/2015 3:59,39
225,10/16/2015 1:20,10/16/2015 1:20,184
226,11/9/2015 18:16,11/9/2015 18:40,578
227,9/6/2015 13:56,9/6/2015 14:13,798
228,11/23/2015 10:43,11/23/2015 10:57,699
229,11/23/2015 14:25,11/23/2015 14:38,243
230,10/6/2015 1:25,10/6/2015 1:39,458
231,11/3/2015 7:07,11/3/2015 7:10,673
232,10/14/2015 1:02,10/14/2015 1:17,865
233,10/10/2015 22:46,10/10/2015 23:02,782
234,11/13/2015 14:10,11/13/2015 14:28,853
235,9/28/2015 23:06,9/28/2015 23:32,437
236,11/17/2015 3:48,11/17/2015 4:01,895
237,11/14/2015 18:50,11/14/2015 19:19,867
238,10/22/2015 0:11,10/22/2015 0:39,567
239,11/8/2015 20:54,11/8/2015 21:22,476
240,10/28/2015 19:50,10/28/2015 20:17,433
241,11/13/2015 21:21,11/13/2015 21:25,276
242,10/3/2015 3:47,10/3/2015 3:55,7
243,10/5/2015 17:34,10/5/2015 17:47,990
244,9/19/2015 14:27,9/19/2015 14:28,1
245,11/19/2015 12:02,11/19/2015 12:17,880
246,8/11/2015 13:49,8/11/2015 14:05,472
247,10/25/2015 20:29,10/25/2015 20:54,295
248,10/5/2015 23:00,10/5/2015 23:04,293
249,9/25/2015 15:07,9/25/2015 15:13,127
250,10/31/2015 7:30,10/31/2015 8:00,32
251,10/9/2015 21:19,10/9/2015 21:19,112
252,9/19/2015 15:44,9/19/2015 16:04,811
253,11/21/2015 5:09,11/21/2015 5:36,374
254,10/29/2015 20:57,10/29/2015 21:19,978
255,10/26/2015 17:43,10/26/2015 17:56,405
256,11/26/2015 15:01,11/26/2015 15:14,137
257,10/8/2015 13:55,10/8/2015 14:03,831
258,10/24/2015 14:18,10/24/2015 14:31,1
259,11/21/2015 7:14,11/21/2015 7:32,978
260,9/22/2015 1:35,9/22/2015 1:37,974
